batch_id,paper_id,title,authors,year,year_basis,venue,publication_status,paper_type,citation_count,doi_or_identifier,open_source,open_source_notes,task_domain,primary_problem,long_horizon,language_conditioned,human_robot_interaction,uses_world_model,world_model_family,world_model_detail,predictive_space,prediction_target,action_conditioned,video_prediction,uses_planning,planning_method,planning_representation,planning_horizon,horizon_basis,hierarchical_planning,replanning_online,planning_role,learning_type,policy_type,pretraining,observation_modality,goal_representation,action_space,benchmark,robot_platform,simulation,real_robot,main_contribution,novelty,limitations,future_work,evidence_world_model,evidence_planning,evidence_horizon,confidence,review_flags,source_document
batch_01,B01-001,AdaPower: Specializing World Foundation Models for Predictive Manipulation,Yuhang Huang; Shilong Zou; Jiazhao Zhang; Xinwang Liu; Ruizhen Hu; Kai Xu,2025,"First public appearance: arXiv v1, 3 Dec 2025",arXiv,Preprint,Method,,arXiv:2512.03538,Unknown,No code repository or released weights were identified in the supplied paper text.,Manipulation,World Modeling; Planning; Test-Time Adaptation,Yes,Yes,No,Yes,Diffusion,"Cosmos-Predict2-2B Diffusion Transformer adapted with TS-TTT, Memory Persistence, and an action encoder",Pixel / Observation,Multi-step future video / observation trajectory,Yes,Yes,Yes,MPC,Observation-level imagined trajectories plus candidate action sequences,Long,Evaluates extended rollouts on unseen LIBERO-LONG tasks; an exact numeric MPC horizon was not identified.,No,Yes,Full End-to-End Planner,Foundation Model Adaptation; Self-supervised Test-Time Training,VLA,Yes,RGB video; action history,Language instruction,Continuous,LIBERO-90; LIBERO-LONG / 10 unseen LIBERO tasks; custom real-world tasks,Franka Research 3,Yes,Yes,Adapts a general video world foundation model into a control-oriented specialist model that evaluates VLA-proposed action sequences inside MPC.,Combines temporal-spatial test-time training with persistent cross-attention memory while keeping the pretrained WFM frozen.,Introduces moderate test-time overhead; broader domain transfer and real-time efficiency remain unresolved.,"Improve domain-transfer robustness, real-time efficiency, and deployment in broader intelligent systems.",The paper replaces the WFM text encoder with an action encoder and uses the adapted model to generate action-conditioned future video rollouts.,A VLA proposes candidate action sequences; the specialist world model rolls them out and a reward model selects the sequence executed by MPC.,"Memory Persistence is designed to reduce error accumulation, and evaluation includes long-horizon rollouts on LIBERO-LONG.",High,Planning horizon is qualitative rather than numerically reported; open-source status requires external verification.,AdaPower_ Specializing World Foundation Models for Predictive Manipulation.txt
batch_01,B01-002,AdaWorldPolicy: World-Model-Driven Diffusion Policy with Online Adaptive Learning for Robotic Manipulation,Ge Yuan; Qiyuan Qiao; Jing Zhang; Dong Xu,2026,"First public appearance: arXiv v1, 23 Feb 2026",arXiv,Preprint,Method,,arXiv:2602.20057,Unknown,"A project homepage is provided, but a code or weights release was not established from the supplied text.",Manipulation,Policy Learning; World Modeling; Online Adaptation,Yes,Yes,No,Yes,Diffusion,Cosmos-Predict2-based world model connected to 0.4B DiT action and force experts through multimodal self-attention,Pixel / Observation,Future observation; force feedback; action sequence,Yes,Yes,No,"None — model-informed diffusion policy without explicit MPC, search, or trajectory optimization",N/A,None,"The policy generates action chunks of 12–32 actions and is evaluated on long-horizon tasks, but the paper does not implement an explicit planner.",No,Yes,Local Controller,Imitation Learning; Self-supervised Online Adaptation; Foundation Model,Diffusion Policy,Yes,Multimodal: static RGB; gripper RGB; force-torque; state/text conditioning,Language / goal conditioning,Continuous action chunks,LIBERO-10; Variant PushT; CALVIN; custom real-world tasks,INOVO robotic arm; benchmark-specific simulated manipulators,Yes,Yes,"Unifies a video world model, diffusion action expert, and force predictor so prediction error can drive lightweight online policy adaptation.","Alternates between action generation and future imagination, using world-model and force prediction errors as self-supervised test-time update signals.",The large video backbone is compute intensive and can produce blur or artifacts in cluttered scenes; long-horizon planning failures remain.,Address long-horizon planning failures and scale the adaptation mechanism to larger architectures.,The action-conditioned Cosmos-based module predicts future observations and supplies an online self-supervision signal.,No separate planner is described; the DiT action expert directly generates action chunks in closed loop.,CALVIN long-sequence evaluation and a long-horizon egg pick-and-place task are reported; action horizons range from 12 to 32.,High,Do not count as an explicit planning method in planner-frequency plots; open-source status requires external verification.,AdaWorldPolicy_ World-Model-Driven Diffusion Policy with Online Adaptive Learning for Robotic Manipulation.txt
batch_01,B01-003,A knowledge-based task planning approach for robot multi-task manipulation,Deshuai Zheng; Jin Yan; Tao Xue; Yong Liu,2023,First public appearance: published online 18 Jul 2023; journal volume is dated 2024,Complex & Intelligent Systems,Peer-reviewed journal article,Method,,10.1007/s40747-023-01155-8,Unknown,The article is open access under CC BY 4.0; a code release was not identified in the supplied text.,Manipulation,Planning,No / Unclear,Yes,No,No,None,N/A,N/A,N/A,N/A,No,Yes,Hierarchical knowledge-graph task planning,Symbolic,Short,The planner produces short sequences of reusable primitive tasks until a stop token; no extended-horizon evaluation is reported.,Yes,No / Unclear,High-Level Planner,Supervised; Environment-Interactive Learning,Skill Policy,Yes — primitive policies,Language; knowledge graph,Language instruction,Hybrid: discrete primitive selection plus continuous primitive-policy execution,Custom 422-task language dataset; Meta-World 20-task subset,Simulation-only Meta-World manipulator; specific arm not stated in the extracted evidence,Yes,No,Uses an RGCN combining GCN and LSTM to convert language-conditioned task decomposition into sequential graph-edge prediction.,Injects object-task-skill relations from a semantic knowledge graph and supports learning unseen task types through environment interaction.,"Language-only planning can produce fixed decompositions that ignore object-specific variations, and transitions between adjacent primitive policies are not optimized.",Add visual features for unseen-object generalization and develop better conjunction strategies between primitive policies.,"The system models semantic task and object relations rather than predicting environmental dynamics, so it is not classified as a world model.",The RGCN predicts primitive tasks sequentially from an activated knowledge graph until it emits stop.,Examples and evaluation focus on compact primitive sequences; the paper does not claim long-horizon planning.,High,The short-horizon label is an inference from reported primitive sequences; code-release status is unverified.,A knowledge-based task planning approach for robot multi-task manipulation.txt
batch_01,B01-004,Aligning Cyber Space with Physical World: A Comprehensive Survey on Embodied AI,Yang Liu; Weixing Chen; Yongjie Bai; Xiaodan Liang; Guanbin Li; Wen Gao; Liang Lin,2024,First public appearance: arXiv:2407.06886; supplied file is a later 2025 revision,IEEE/ASME Transactions on Mechatronics,Survey article / author manuscript,Survey,,arXiv:2407.06886,Yes,The paper links a companion GitHub paper list and describes the ARIO data standard and dataset.,General Robotics; Embodied AI,Survey; Embodied AI; World Modeling,N/A — survey identifies it as a major challenge,N/A — survey covers language-conditioned systems,N/A — survey covers HRI,N/A — survey covers world models,N/A — multiple families reviewed,"Covers multimodal large models, embodied world models, agents, and sim-to-real methods",N/A,N/A,N/A,N/A,N/A — multiple planning paradigms reviewed,N/A,N/A,N/A,The survey treats long-horizon task execution as an open research challenge.,N/A,N/A,N/A,N/A,N/A,N/A,Multiple,Multiple,Multiple,Multiple simulators and datasets; ARIO dataset,Multiple,Both / Survey,Both / Survey,"Surveys embodied robots, simulators, perception, interaction, embodied agents, sim-to-real adaptation, datasets, and the roles of MLMs and world models.",Frames embodied AI as alignment between cyber and physical spaces and proposes the ARIO unified data standard and dataset.,"N/A as a single system; the reviewed field remains constrained by scarce real-world data, sim-to-real gaps, weak long-term memory, and limited long-horizon task decomposition.","Develop larger real-world datasets, stronger long-horizon planners, better multimodal grounding, sim-to-real transfer, safety, and security.",The survey positions embodied world models as internal mechanisms for understanding and connecting virtual and physical environments.,Task planning is reviewed as a core embodied-agent capability rather than implemented as one method.,The challenges section explicitly identifies long-horizon task execution and sequential low-level action planning as unresolved.,High,Exclude from method-only architecture and performance counts; retain for survey-trend and taxonomy analyses.,Aligning Cyber Space with Physical World_ A Comprehensive Survey on Embodied AI.txt
batch_01,B01-005,A Step Toward World Models: A Survey on Robotic Manipulation,Peng-Fei Zhang; Ying Cheng; Xiaofan Sun; Shijie Wang; Fengling Li; Lei Zhu; Heng Tao Shen,2025,"First public appearance: TechRxiv, 20 Nov 2025",TechRxiv,Preprint; not peer reviewed,Survey,,10.36227/techrxiv.176240565.55307163/v2,Unknown,"The paper is CC BY 4.0, but no companion code or dataset repository was identified in the supplied text.",Manipulation,Survey; World Modeling,N/A — central challenge reviewed,N/A — multiple model classes reviewed,N/A,N/A — survey defines and reviews world-model paradigms,N/A — implicit; latent dynamics; video generation; hybrid families reviewed,"Reviews implicit world modeling, latent dynamics, video generation, flat and hierarchical architectures",N/A,N/A,N/A,N/A,N/A — multiple decision-support methods reviewed,N/A,N/A,N/A,"Long-horizon reasoning, prediction consistency, and hierarchical decomposition are major review dimensions.",N/A,N/A,N/A,N/A,N/A,N/A,Multiple,Multiple,Multiple,Multiple robotic manipulation datasets and benchmarks,Multiple,Both / Survey,Both / Survey,"Develops a problem-centered taxonomy of robotic world models, their representations, architectures, functions, datasets, capabilities, and challenges.","Extends world-model scope beyond explicitly named models to include implicit modeling, latent dynamics, and video-generation approaches.","The document is an initial, non-peer-reviewed survey version, and the conceptual boundaries of world models remain unsettled.","Advance multimodal and hierarchical world models, causal and physical reasoning, memory, long-horizon consistency, generalization, and real-world validation.","The survey organizes the field into implicit world modeling, latent dynamics modeling, and video generation.","Decision support includes action prediction, policy learning, and visual planning across many reviewed systems.","The paper identifies error accumulation, flat architectures, and weak abstraction as major obstacles to long-horizon manipulation.",High,Exclude from method-only counts; content is explicitly preliminary and may change in later versions.,A Step Towrad World Models: A Survey on Robotic Manipulation.txt
batch_02,B02-001,A Survey on Vision-Language-Action Models for Embodied AI,Yueen Ma; Zixing Song; Yuzheng Zhuang; Jianye Hao; Irwin King,2024,First public appearance: arXiv:2405.14093 in 2024; later published in IEEE TNNLS with a 2025 DOI,IEEE Transactions on Neural Networks and Learning Systems,Peer-reviewed journal survey,Survey,,10.1109/TNNLS.2025.3650584; arXiv:2405.14093,Yes,Companion curated repository: Awesome-VLA.,General Robotics; Embodied AI,Survey; Vision-Language-Action Models; Planning,N/A — survey reviews long-horizon task planners,N/A — language conditioning is central to the surveyed field,N/A — survey covers user instruction following and embodied interaction,N/A — survey reviews world models as VLA components,N/A — multiple families reviewed,"Reviews latent dynamics, LLM-induced world models, visual world models, and related dynamics-learning components.",N/A,N/A,N/A,N/A,N/A — survey reviews low-level policies and high-level task planners,N/A,N/A,N/A,The survey treats hierarchical task decomposition as the dominant current approach to long-horizon VLA tasks.,N/A,N/A,N/A,N/A,N/A,N/A,Multiple: vision; language; state; action; 3D; multimodal sensing,Primarily language; multiple goal forms reviewed,Multiple,"Multiple real-world and simulation datasets, simulators, and VLA/task-planning benchmarks",Multiple,Both / Survey,Both / Survey,"Provides a VLA taxonomy spanning components, low-level control policies, and high-level task planners, with associated datasets, simulators, and benchmarks.",Explicitly organizes VLA research around a hierarchical split between action-generating control policies and long-horizon task planners.,"The surveyed field faces unresolved safety, benchmark coverage, generalization, multimodal alignment, long-horizon integration, latency, and multiagent coordination challenges.","Develop unified end-to-end long-horizon VLA systems, broader benchmarks, safer and faster deployment, stronger foundation-model generalization, and richer multimodal sensing.","The survey defines world models as predictors of future states conditioned on states and actions and reviews latent, textual, and visual variants.",It separates high-level task planners from low-level VLA control policies and reviews monolithic and modular planners.,The survey states that hierarchical systems are currently the most practical approach for long-horizon tasks but introduce latency and additional failure points.,High,"Exclude from method-only model and performance counts; retain for survey trends, taxonomy comparison, and long-horizon gap analysis.",A Survey on Vision--Language--Action Models for Embodied AI.txt
batch_02,B02-002,Causal-JEPA: Learning World Models through Object-Level Latent Masking,Heejeong Nam; Quentin Le Lidec; Lucas Maes; Yann LeCun; Randall Balestriero,2026,First public appearance: arXiv:2602.11389 in 2026; ICML 2026 publication,International Conference on Machine Learning (ICML),Peer-reviewed conference article,Method,,arXiv:2602.11389; PMLR 306,Yes,Code repository reported by the paper: https://github.com/galilai-group/cjepa,Manipulation; Physical Reasoning,World Modeling; Planning; Representation Learning,No,No,No,Yes,JEPA,Object-centric JEPA with a frozen visual/object encoder and a masked transformer predictor trained on history completion and future latent prediction.,Object-Centric Latent,Masked historical object states and future object-centric latent states,Yes,No,Yes,MPC; Cross-Entropy Method,Object-centric latent,Medium,"MPC uses H=5 action blocks of size B=5, producing a 25-action optimized sequence; the evaluation episode budget is 50 steps.",No,Yes,Local Controller,Self-supervised World Model Learning,None — actions are selected by MPC rather than a learned policy,Yes — frozen DINOv2-derived visual features and object-centric encoder,RGB video; action; proprioception,Goal observation encoded as an object-centric latent state,Continuous,CLEVRER; Push-T,Simulation-only planar pushing agent,Yes,No,Introduces object-level latent masking in a JEPA world model to make interaction-dependent prediction necessary while greatly reducing planning token cost.,"Treats masked object states as counterfactual-like observability interventions, combining object-centric abstraction with reconstruction-free joint latent prediction.","Performance is bounded by the object-centric encoder, influence neighborhoods are not validated against explicit temporal causal graphs, and evaluation is limited to relatively controlled environments.",Jointly refine stronger object-centric encoders without collapse and evaluate in more complex environments with richer interactions and explicit causal structure.,"The predictor completes masked object histories and predicts future object latents, optionally conditioned on actions and proprioception.",Push-T actions are optimized with CEM and repeatedly executed in an MPC scheme using predicted latent goal error.,"The optimized sequence contains 25 low-level actions, which is medium under the dataset rule and is not task-level long-horizon planning.",High,Core JEPA/world-model paper. Do not equate its 25-action MPC horizon with long-horizon task decomposition.,Causal-JEPA_ Learning World Models through Object-Level Latent Interventions.txt
batch_02,B02-003,Continuous control actions learning and adaptation for robotic manipulation through reinforcement learning,Asad Ali Shahid; Dario Piga; Francesco Braghin; Loris Roveda,2022,Published online 9 Feb 2022,Autonomous Robots,Peer-reviewed journal article,Method,,10.1007/s10514-022-10034-z,Yes,Software repository reported by the paper: https://github.com/Asad-Shahid/Intelligent-Task-Learning,Manipulation; Grasping,Policy Learning; Reinforcement Learning; Adaptation,No,No,No,No,None,N/A — PPO and SAC are used as model-free reinforcement-learning algorithms.,N/A,N/A,N/A,No,No,None,N/A,None,A closed-loop policy directly executes a single grasp-and-lift task; no explicit planner or task decomposition is used.,No,No,None,Model-free Reinforcement Learning; Fine-Tuning; Sim-to-Real,RL Policy,Yes — a base grasping policy initializes adaptation to modified objectives,State: robot proprioception; object pose; relative object-gripper position,Reward-defined grasp-and-lift objective,Continuous: seven joint-velocity commands plus gripper command,Custom MuJoCo grasping and obstacle-avoidance tasks,Franka Emika Panda,Yes,Yes,Compares PPO and SAC for continuous robotic grasp control and proposes sequential fine-tuning to adapt a learned policy to additional performance and safety objectives.,Demonstrates model-free policy adaptation with an unconstrained continuous joint-command action space and zero-shot transfer from simulation to a real Franka robot.,"The approach still depends on simulated training, uses engineered state information rather than vision, and evaluates a narrow grasping task; direct real-world learning remains sample inefficient.","Study rigorous one-shot versus fine-tuning comparisons, model-based and meta-RL adaptation, dynamic targets and obstacles, human-aware safety, multiagent modular control, and visual environment updates.",The paper explicitly uses model-free PPO and SAC and does not learn predictive environment dynamics.,The stochastic policy maps the current 46-dimensional state directly to continuous robot commands without search or trajectory optimization.,"The evaluation is a single reach-grasp-lift behavior with additional control constraints, not a long-horizon task plan.",High,Supporting model-free comparison; peripheral to core world-model and explicit-planning analyses.,Continuous control actions learning and adaptation for robotic manipulation through reinforcement learning.txt
batch_02,B02-004,DayDreamer: World Models for Physical Robot Learning,Philipp Wu; Alejandro Escontrela; Danijar Hafner; Ken Goldberg; Pieter Abbeel,2022,First public appearance: arXiv:2206.14176 on 28 Jun 2022; CoRL 2022,Conference on Robot Learning (CoRL),Peer-reviewed conference article,Method,,arXiv:2206.14176; PMLR 205,Yes,The authors publicly release the experiment infrastructure and provide a project website.,General Robotics; Manipulation; Locomotion; Navigation,World Modeling; Model-Based Reinforcement Learning; Policy Learning,No / Unclear,No,No,Yes,RSSM,"Dreamer recurrent state-space model with multimodal encoder, stochastic latent dynamics, observation decoder, reward model, and actor-critic behavior learning.",Latent,Future latent states; observations; rewards,Yes,No,Yes,Policy Rollout — actor-critic optimization from imagined latent trajectories,Latent,Medium,Imagined actor-critic rollouts use H=16 steps; the critic bootstraps beyond that horizon to learn longer-term strategies.,No,No,Local Controller,Model-Based Reinforcement Learning; Online Real-World Learning,Actor-Critic RL Policy,No — each task is learned online from scratch,Multimodal: RGB cameras; proprioception; velocity and task-specific sensors,Reward-defined task objective; explicit goal position for navigation,Multiple: continuous and discrete across platforms,Custom real-world A1 walking; UR5 and XArm pick-and-place; Sphero navigation,Unitree A1; UR5; XArm; Sphero,No,Yes,"Demonstrates that Dreamer can learn locomotion, manipulation, and navigation directly on four physical robots without simulators or demonstrations.",Establishes a common real-world world-model baseline across diverse robots and sensing/action configurations using the same hyperparameters.,"Multi-hour hardware learning causes robot wear and possible human intervention, experiments may not expose the method's ultimate limits, and the evaluated tasks remain comparatively constrained.","Train longer, tackle more challenging tasks, and combine fast real-world world-model learning with the benefits of simulation.",An action-conditioned RSSM learns latent dynamics from replayed real-world experience and predicts trajectories used for behavior learning.,The actor and critic are optimized on imagined latent rollouts rather than by deployment-time MPC or search.,The imagination horizon is 16 steps; this supports long-term control strategies but not high-level long-horizon task decomposition.,High,"Core world-model baseline. Count as imagination-based policy planning, not deployment-time trajectory optimization.",DayDreamer_ World Models for Physical Robot Learning.txt
batch_02,B02-005,Dexterous Manipulation for Multi-Fingered Robotic Hands With Reinforcement Learning: A Review,Chunmiao Yu; Peng Wang,2022,Published 25 Apr 2022,Frontiers in Neurorobotics,Peer-reviewed review article,Survey,,10.3389/fnbot.2022.861825,Unknown,"The article is open access, but no companion code or curated dataset repository is identified.",Dexterous Manipulation,Survey; Reinforcement Learning; Sim-to-Real,N/A,N/A,N/A,N/A — not focused on learned world models,N/A,"Reviews classical analytical modeling as well as model-free RL, learning from demonstration, and sim-to-real transfer.",N/A,N/A,N/A,N/A,N/A — reviews classical grasp and motion planning,N/A,N/A,N/A,The review does not present one implemented planner or a normalized planning horizon.,N/A,N/A,N/A,N/A,N/A,N/A,Multiple: proprioception; vision; tactile and other sensors discussed,Multiple task-specific objectives,Multiple,Multiple dexterous-hand tasks and simulation environments,Multiple: Shadow Hand; Allegro; TriFinger; DClaw; Utah/MIT; DLR/HIT II and others,Both / Survey,Both / Survey,"Reviews classical modeling/planning/control and reinforcement-learning approaches for multi-finger dexterous manipulation, including demonstrations and sim-to-real transfer.",Concentrates specifically on reinforcement-learning methods for multi-fingered hands and connects them to earlier analytical manipulation methods.,"The field remains constrained by sample inefficiency, exploration difficulty, sim-to-real gaps, high hardware cost, poor generalization, limited sensing, and inability to perform many complex tasks.","Improve simulators, sensor fusion, algorithms and adaptation, semantic instruction understanding, robotic-hand hardware, manipulation in non-air media, and foundational contact theory.",The review discusses analytical models and reinforcement learning but is not organized around learned predictive world models.,It reviews high-level grasp and motion planning as background rather than proposing a single planning architecture.,No paper-level long-horizon planning method or task decomposition is evaluated.,High,Peripheral to the core corpus; useful as historical dexterous-manipulation context but should be excluded from core world-model and long-horizon method counts.,Dexterous Manipulation for Multi-Fingered Robotic Hands With Reinforcement Learning_ A Review.txt
